iter	R2	RMSE
0	0.5657109246	295585.449
1	0.5786060901	291164.0328
2	0.5908725791	286894.9426
3	0.6021552179	282911.3895
4	0.6137062848	278774.0983
5	0.6260853281	274270.9759
6	0.6358237867	270675.7735
7	0.6442925868	267510.0218
8	0.6517771338	264680.6798
9	0.6590259536	261911.3145
10	0.6667411585	258931.2326
11	0.6725398233	256668.6607
12	0.677696625	254639.648
13	0.6860678333	251311.0052
14	0.6909019328	249368.5863
15	0.6978751321	246539.6842
16	0.7032788131	244324.983
17	0.7089938995	241960.5958
18	0.713685636	240002.1691
19	0.7172942217	238484.9301
20	0.7222947031	236366.3671
21	0.7274662523	234155.1655
22	0.7329676547	231779.7732
23	0.7379055236	229626.7784
24	0.7420005106	227825.8618
25	0.7460812349	226016.9433
26	0.7502047658	224174.2228
27	0.7534361898	222719.5113
28	0.7571969358	221014.4557
29	0.7610278694	219263.9464
30	0.7630076232	218353.8163
31	0.7666090692	216688.3619
32	0.7702139265	215008.4115
33	0.7730828594	213661.9805
34	0.7753719835	212581.5453
35	0.7760750789	212248.5898
36	0.7784413891	211124.1506
37	0.7804458251	210166.9629
38	0.781953956	209443.8943
39	0.7837379504	208585.3276
40	0.7855512668	207709.0125
41	0.7878693334	206583.3553
42	0.7906528846	205223.4995
43	0.7928990349	204119.5771
44	0.7950672336	203048.2729
45	0.7962902402	202441.4862
46	0.7971948677	201991.4883
47	0.7993795496	200900.5839
48	0.8011346276	200019.8892
49	0.8029988898	199080.139
50	0.8054117461	197857.2229
51	0.8070618962	197016.5009
52	0.8076302488	196726.1035
53	0.8082562156	196405.7716
54	0.8100250381	195497.7582
55	0.8108428596	195076.506
56	0.81210613	194424.0136
57	0.8124126764	194265.3487
58	0.8139825345	193450.7688
59	0.8159875356	192405.3835
60	0.8175512462	191586.1231
61	0.8187055754	190979.0914
62	0.8202284863	190175.2677
63	0.8212104449	189655.1632
64	0.8218993853	189289.4057
65	0.8226542322	188887.8455
66	0.8244364935	187936.3213
67	0.8261978233	186991.2153
68	0.8278062855	186123.9436
69	0.8288907313	185536.9299
70	0.8303942174	184720.0026
71	0.8321896091	183739.7085
72	0.8322209258	183722.563
73	0.8330142227	183287.7077
74	0.8340186979	182735.6078
75	0.8348491457	182277.8976
76	0.8365505043	181336.5676
77	0.8380572911	180498.7915
78	0.8392248296	179846.9544
79	0.84005312	179383.0835
80	0.8406926589	179024.0975
81	0.8407448261	178994.7833
82	0.8422163696	178165.8937
83	0.843052221	177693.3544
84	0.8436866082	177333.87
85	0.8443028587	176983.964
86	0.8453181333	176405.979
87	0.8454699217	176319.4047
88	0.8465040757	175728.4275
89	0.8476231889	175086.6522
90	0.8485032697	174580.2971
91	0.8493373898	174099.0263
92	0.8502737042	173557.2015
93	0.8513046647	172958.6436
94	0.8522570142	172403.8796
95	0.8535919107	171623.2552
96	0.854901232	170854.122
97	0.8549932046	170799.9645
98	0.8554022393	170558.8983
99	0.8559529154	170233.8162
100	0.8568357525	169711.3491
101	0.8569171846	169663.0762
102	0.857254698	169462.8517
103	0.8581050222	168957.3583
104	0.8589779932	168436.824
105	0.8592743661	168259.7368
106	0.8600349075	167804.4472
107	0.8605584511	167490.3144
108	0.8608244122	167330.5085
109	0.8614698647	166942.0445
110	0.8619080281	166677.821
111	0.8626632485	166221.4184
112	0.8636994026	165593.1922
113	0.8646953429	164987.0932
114	0.8651491548	164710.1774
115	0.8664635103	163905.5186
116	0.8669360457	163615.2616
117	0.8674952328	163271.1118
118	0.8679522628	162989.2946
119	0.8687037555	162524.8413
120	0.8689134853	162394.9825
121	0.8698522353	161812.4581
122	0.8706416266	161320.9874
123	0.8713844106	160857.1629
124	0.8722322113	160326.122
125	0.8728039104	159967.0288
126	0.8732681268	159674.8532
127	0.8734576466	159555.4166
128	0.873818819	159327.5553
129	0.8750179581	158568.6783
130	0.8760155511	157934.5715
131	0.8771097608	157236.1109
132	0.8776914929	156863.5109
133	0.8782556261	156501.3358
134	0.87856849	156300.1146
135	0.8790940565	155961.5073
136	0.880015934	155365.7858
137	0.8805086264	155046.4673
138	0.8811252286	154645.9127
139	0.8814841628	154412.2648
140	0.8820888738	154017.8272
141	0.8823244528	153863.8913
142	0.8828136186	153543.7597
143	0.8833358053	153201.2794
144	0.8839195151	152817.5404
145	0.8845736337	152386.3653
146	0.8850395081	152078.5298
147	0.8850706091	152057.957
148	0.8858517271	151540.3447
149	0.8861239569	151359.5342
150	0.8863778004	151190.7407
151	0.8874712783	150461.4668
152	0.8877055466	150304.7658
153	0.8881853124	149983.3418
154	0.8889860666	149445.3285
155	0.889512776	149090.3827
156	0.8901540336	148657.0997
157	0.8908060639	148215.2391
158	0.8913211379	147865.2561
159	0.8917271646	147588.7836
160	0.8922795651	147211.8083
161	0.8922863969	147207.1401
162	0.8925972701	146994.5587
163	0.8932446713	146550.8628
164	0.8934331205	146421.4566
165	0.8941229779	145946.7597
166	0.8949648178	145365.3824
167	0.8954389731	145036.9033
168	0.895611226	144917.3878
169	0.8959936981	144651.6613
170	0.896478651	144314.0317
171	0.8968118386	144081.6043
172	0.8969760982	143966.8809
173	0.8971893811	143817.7816
174	0.8973676711	143693.026
175	0.897701	143459.4933
176	0.8979683612	143271.9031
177	0.8982792229	143053.482
178	0.8989902582	142552.6283
179	0.8993409645	142304.9415
180	0.8999691083	141860.2329
181	0.9002598296	141653.9377
182	0.900408928	141548.0211
183	0.9007294028	141320.0934
184	0.9011036005	141053.4909
185	0.9016045235	140695.8103
186	0.901983987	140424.2506
187	0.9019953745	140416.0931
188	0.9022469727	140235.7387
189	0.9028410715	139808.9445
190	0.9032594413	139507.6086
191	0.9035392932	139305.6781
192	0.9039158174	139033.5297
193	0.9041715731	138848.3675
194	0.9043351639	138729.8014
195	0.9047946111	138396.2633
196	0.905065185	138199.4621
197	0.9053627348	137982.7161
198	0.9056282262	137789.0347
199	0.9057788295	137679.0454
200	0.905930935	137567.8698
201	0.9060643782	137470.2605
202	0.9062639495	137324.1514
203	0.9064859955	137161.4053
204	0.9067146799	136993.5915
205	0.9069310559	136834.6204
206	0.9071853084	136647.5852
207	0.9073122345	136554.119
208	0.907682382	136281.1826
209	0.9079616999	136074.859
210	0.9083546888	135784.0392
211	0.9087856461	135464.4043
212	0.9091267231	135210.8967
213	0.9094529648	134967.97
214	0.9096007744	134857.7637
215	0.909966483	134584.7048
216	0.9102076191	134404.3553
217	0.9107435696	134002.6403
218	0.9110945677	133738.9002
219	0.9112966254	133586.8378
220	0.9114541494	133468.1699
221	0.9118298614	133184.7072
222	0.9121754391	132923.4461
223	0.9127046217	132522.3792
224	0.9129898477	132305.7024
225	0.913354202	132028.3973
226	0.9137743136	131707.9314
227	0.9139840501	131547.6498
228	0.9142541038	131340.9854
229	0.9147443398	130964.9886
230	0.9149624313	130797.3713
231	0.9152304925	130591.0544
232	0.9153991332	130461.0907
233	0.915601494	130304.9693
234	0.9158525673	130111.0057
235	0.9160564194	129953.3094
236	0.9163680469	129711.8693
237	0.9165791883	129548.0273
238	0.9168405946	129344.8931
239	0.9173813421	128923.6719
240	0.9175343721	128804.2175
241	0.9177769921	128614.6021
242	0.918182826	128296.8034
243	0.9184233729	128108.0648
244	0.9186005635	127968.859
245	0.9188765259	127751.7533
246	0.9189028429	127731.0298
247	0.9190461364	127618.1336
248	0.919186449	127507.4891
249	0.9193360497	127389.4146
250	0.9199037978	126940.3117
251	0.9200663862	126811.4073
252	0.920651633	126346.3194
253	0.9208979678	126150.0477
254	0.9211773446	125927.0789
255	0.9215266183	125647.7693
256	0.9223253327	125006.7026
257	0.9224418138	124912.9373
258	0.9227777056	124642.155
259	0.9229506165	124502.5317
260	0.9234824824	124072.0719
261	0.9236037204	123973.74
262	0.9237465531	123857.7934
263	0.9239075922	123726.9371
264	0.9241501651	123529.5668
265	0.9242601765	123439.9517
266	0.9244695072	123269.2512
267	0.9248145526	122987.3638
268	0.9250064753	122830.2912
269	0.9250605794	122785.9752
270	0.925327978	122566.7172
271	0.9255839932	122356.425
272	0.9258752849	122116.7161
273	0.9258953941	122100.1506
274	0.9259163462	122082.8882
275	0.9260278842	121990.9515
276	0.9266317189	121492.0249
277	0.9267260444	121413.9021
278	0.9271587363	121054.8892
279	0.9271760272	121040.5204
280	0.9274241884	120834.1104
281	0.9275367171	120740.3975
282	0.9275874434	120698.1293
283	0.927692677	120610.3951
284	0.9279163836	120423.6765
285	0.928030923	120327.9631
286	0.9283188437	120087.0289
287	0.9284466021	119979.9646
288	0.9286645717	119797.0807
289	0.9288356962	119653.3055
290	0.9289299707	119574.0243
291	0.9292896806	119271.0378
292	0.9296776582	118943.376
293	0.9297817645	118855.3005
294	0.9297981686	118841.4165
295	0.9298503597	118797.2323
296	0.9299411288	118720.3495
297	0.9300210432	118652.6195
298	0.9303072992	118409.6906
299	0.9304120449	118320.6742
300	0.9307400793	118041.4658
301	0.9308866959	117916.4583
302	0.9310004578	117819.3719
303	0.9312871779	117574.3243
304	0.9314038825	117474.4353
305	0.9316413791	117270.8964
306	0.9317559996	117172.538
307	0.9319699073	116988.7579
308	0.931984686	116976.05
309	0.932172246	116814.6513
310	0.93241647	116604.1573
311	0.9326430268	116408.5502
312	0.9330921135	116019.8379
313	0.9332263551	115903.3904
314	0.9333183734	115823.5018
315	0.9333807027	115769.3573
316	0.9334231238	115732.4922
317	0.9337311324	115464.4718
318	0.9340306528	115203.2396
319	0.9341574909	115092.4367
320	0.9342896317	114976.8879
321	0.934514304	114780.1591
322	0.9348752234	114463.421
323	0.934978646	114372.4971
324	0.9350408635	114317.7637
325	0.9351563022	114216.1417
326	0.9356259263	113801.7905
327	0.9358104947	113638.5315
328	0.9360884181	113392.2524
329	0.9363518482	113158.3216
330	0.9365099181	113017.7201
331	0.9365978234	112939.4536
332	0.936788468	112769.5264
333	0.9368187694	112742.4943
334	0.9369001433	112669.8679
335	0.9370651031	112522.497
336	0.9371285095	112465.8
337	0.9374489932	112178.7898
338	0.9378033226	111860.612
339	0.9380969575	111596.2487
340	0.9383607645	111358.2046
341	0.9387154181	111037.3817
342	0.9390133794	110767.1249
343	0.9390463047	110737.2205
344	0.9390581572	110726.4535
345	0.9391556138	110637.8826
346	0.9394072644	110408.848
347	0.9394957158	110328.2329
348	0.9399000525	109958.9654
349	0.9400208135	109848.4375
350	0.9404210708	109481.2999
351	0.9408737952	109064.5471
352	0.9408798677	109058.9462
353	0.9411918813	108770.7797
354	0.941349065	108625.3199
355	0.9414869061	108497.5995
356	0.9416634407	108333.8067
357	0.9420676452	107957.8407
358	0.9421097122	107918.6373
359	0.9422873231	107752.9597
360	0.9425385221	107518.2023
361	0.9428851496	107193.4183
362	0.9432833417	106819.1003
363	0.9434300925	106680.817
364	0.943512491	106603.0942
365	0.9435591826	106559.0269
366	0.9437841578	106346.4407
367	0.9438648688	106270.0707
368	0.9439824738	106158.6926
369	0.9442911653	105865.7883
370	0.94437153	105789.4005
371	0.9444745445	105691.4031
372	0.9445170849	105650.908
373	0.9446285651	105544.714
374	0.9448329524	105349.7404
375	0.9451075788	105087.1931
376	0.9453985635	104808.2894
377	0.9454081094	104799.1273
378	0.9454202441	104787.4792
379	0.9455958545	104618.7665
380	0.9458675455	104357.2096
381	0.9459126291	104313.7443
382	0.945997634	104231.7411
383	0.9460935308	104139.1532
384	0.9463043816	103935.2877
385	0.9463578477	103883.5293
386	0.946502065	103743.7896
387	0.9468100689	103444.7162
388	0.9469817737	103277.6139
389	0.9472185405	103046.7493
390	0.9473423793	102925.7913
391	0.947533383	102738.9516
392	0.9476353857	102639.0333
393	0.9477857869	102491.5279
394	0.9479708283	102309.7573
395	0.9480122263	102269.0469
396	0.9480529671	102228.9669
397	0.9481069226	102175.8624
398	0.9481114028	102171.4516
399	0.9482764766	102008.8024
400	0.9483116005	101974.1611
401	0.9483646791	101921.7892
402	0.9487383062	101552.3726
403	0.949036686	101256.3876
404	0.9491898637	101104.1026
405	0.9494285678	100866.3313
406	0.9497702102	100525.0456
407	0.9499528705	100342.0998
408	0.9500977452	100196.7611
409	0.9502683825	100025.3065
410	0.9504276127	99865.04816
411	0.9506653869	99625.25864
412	0.9507985212	99490.74351
413	0.9508501854	99438.49452
414	0.9510431029	99243.15007
415	0.9512676462	99015.29664
416	0.9515731958	98704.39782
417	0.9518692741	98402.19917
418	0.9519893701	98279.35569
419	0.952137234	98127.89783
420	0.9524036769	97854.38695
421	0.9525231619	97731.48382
422	0.9527305273	97517.81852
423	0.9528563357	97387.95952
424	0.9529134823	97328.91568
425	0.9529261099	97315.86402
426	0.9529817199	97258.3658
427	0.953007095	97232.11775
428	0.9531202458	97114.98818
429	0.9532988356	96929.83047
430	0.9534424449	96780.68276
431	0.9534634501	96758.84823
432	0.9537372081	96473.82944
433	0.9538686454	96336.68599
434	0.9539577199	96243.63334
435	0.9540375828	96160.1271
436	0.9542901096	95895.60173
437	0.9542962445	95889.16621
438	0.954392	95788.66324
439	0.9544848475	95691.11164
440	0.9546206005	95548.30143
441	0.9549035732	95249.92988
442	0.9549412226	95210.16119
