iter	Passed	Remaining
0	59	89214
1	60	45142
2	60	30179
3	61	22888
4	61	18501
5	62	15570
6	62	13390
7	63	11832
8	64	10625
9	64	9683
10	65	8893
11	66	8194
12	66	7629
13	67	7143
14	67	6726
15	68	6359
16	68	6007
17	69	5726
18	70	5470
19	70	5215
20	71	5015
21	71	4804
22	71	4604
23	72	4449
24	73	4312
25	73	4182
26	74	4046
27	74	3933
28	75	3828
29	76	3731
30	76	3638
31	77	3553
32	78	3481
33	79	3414
34	80	3349
35	80	3284
36	81	3204
37	81	3142
38	82	3083
39	82	3028
40	83	2961
41	83	2910
42	84	2863
43	84	2801
44	85	2757
45	85	2698
46	86	2660
47	86	2611
48	86	2575
49	87	2540
50	88	2509
51	88	2464
52	88	2421
53	89	2391
54	89	2364
55	90	2340
56	91	2315
57	92	2289
58	92	2253
59	92	2229
60	93	2205
61	94	2182
62	94	2159
63	95	2138
64	95	2113
65	95	2083
66	96	2063
67	97	2045
68	97	2029
69	98	2012
70	99	1995
71	99	1970
72	99	1954
73	100	1937
74	101	1922
75	101	1906
76	102	1892
77	103	1878
78	103	1864
79	104	1850
80	104	1836
81	105	1822
82	106	1811
83	106	1798
84	106	1777
85	107	1767
86	108	1756
87	108	1737
88	108	1721
89	108	1705
90	109	1695
91	110	1685
92	110	1675
93	110	1658
94	111	1649
95	112	1641
96	112	1631
97	113	1622
98	114	1613
99	114	1604
100	115	1595
101	115	1587
102	116	1579
103	117	1571
104	117	1557
105	117	1543
106	118	1536
107	118	1529
108	119	1518
109	119	1511
110	120	1504
111	120	1490
112	120	1484
113	121	1478
114	122	1473
115	122	1467
116	123	1461
117	124	1454
118	124	1448
119	125	1442
120	125	1435
121	126	1430
122	127	1424
123	127	1418
124	128	1412
125	129	1406
126	129	1399
127	130	1394
128	130	1389
129	131	1385
130	132	1380
131	132	1375
132	133	1369
133	133	1364
134	134	1360
135	135	1355
136	135	1346
137	135	1342
138	136	1337
139	137	1333
140	138	1330
141	138	1326
142	139	1322
143	140	1320
144	141	1317
145	141	1313
146	142	1309
147	142	1304
148	143	1301
149	144	1297
150	144	1294
151	145	1292
152	146	1288
153	147	1285
154	147	1282
155	148	1279
156	149	1276
157	149	1273
158	150	1270
159	151	1266
160	151	1263
161	152	1259
162	153	1256
163	153	1252
164	154	1249
165	155	1246
166	155	1243
167	156	1239
168	157	1236
169	157	1233
170	158	1230
171	159	1228
172	159	1224
173	160	1221
174	160	1217
175	161	1214
176	162	1211
177	162	1207
178	163	1204
179	163	1201
180	164	1199
181	165	1196
182	165	1193
183	166	1190
184	167	1187
185	167	1184
186	168	1181
187	168	1178
188	169	1176
189	170	1173
190	170	1170
191	171	1168
192	172	1165
193	172	1162
194	173	1160
195	174	1157
196	174	1155
197	175	1152
198	175	1149
199	176	1147
200	177	1144
201	177	1142
202	178	1140
203	179	1138
204	179	1135
205	180	1133
206	181	1130
207	181	1128
208	182	1125
209	182	1123
210	183	1120
211	184	1119
212	184	1117
213	185	1114
214	186	1112
215	186	1110
216	187	1108
217	188	1106
218	188	1104
219	189	1102
220	190	1099
221	190	1097
222	191	1095
223	191	1093
224	192	1090
225	193	1088
226	193	1086
227	194	1084
228	194	1082
229	195	1080
230	196	1078
231	196	1076
232	197	1074
233	198	1072
234	198	1070
235	199	1068
236	200	1066
237	200	1064
238	201	1062
239	201	1060
240	202	1058
241	203	1057
242	204	1056
243	205	1056
244	205	1054
245	206	1052
246	207	1050
247	207	1048
248	208	1047
249	209	1045
250	209	1044
251	210	1042
252	211	1041
253	212	1040
254	212	1039
255	213	1038
256	214	1037
257	215	1035
258	215	1034
259	216	1032
260	217	1030
261	217	1029
262	218	1028
263	219	1026
264	219	1024
265	220	1023
266	221	1021
267	221	1019
268	222	1017
269	222	1015
270	223	1014
271	224	1012
272	224	1010
273	225	1009
274	226	1007
275	226	1006
276	227	1004
277	228	1003
278	228	1001
279	229	999
280	230	998
281	230	996
282	231	994
283	231	992
284	232	991
285	233	989
286	233	987
287	234	986
288	234	984
289	235	982
290	236	981
291	236	979
292	237	978
293	238	976
294	238	975
295	239	973
296	239	971
297	240	970
298	241	968
299	241	967
300	242	965
301	243	964
302	243	962
303	244	961
304	245	959
305	245	958
306	246	956
307	246	955
308	247	953
309	248	952
310	248	951
311	249	950
312	250	948
313	250	947
314	251	946
315	252	944
316	252	943
317	253	941
318	254	940
319	254	939
320	255	937
321	255	936
322	256	934
323	257	933
324	257	931
325	258	929
326	258	928
327	259	926
328	260	926
329	260	924
330	261	923
331	262	921
