source_row,property_size,location,renovation_cost,post_renovation_value,unit_type,sqft_renovated,sqft_to_add,material_grade,structural_change,reno_bathroom,reno_bedroom,reno_kitchen,reno_living_room,reno_other_custom,reno_full_renovation
0,829,411811.87474069337,74694.45,224805.4386,bedroom,151,139.6822429906542,Mid-range,1,0,1,0,0,0,0
0,829,411811.87474069337,74694.45,224805.4386,bathroom,89,70.61059190031153,Mid-range,1,1,0,0,0,0,0
0,829,411811.87474069337,74694.45,224805.4386,kitchen,186,118.6822429906542,High-end,1,0,0,1,0,0,0
1,1011,414396.62153522094,74037.08,339924.42949999997,bedroom,166,163.49532710280374,Budget-friendly,1,0,1,0,0,0,0
1,1011,414396.62153522094,74037.08,339924.42949999997,bathroom,86,81.95015576323988,High-end,1,1,0,0,0,0,0
1,1011,414396.62153522094,74037.08,339924.42949999997,other/custom,193,142.49532710280374,Mid-range,1,0,0,0,0,1,0
2,1835,414396.62153522094,198404.68,415393.4241999999,full renovation,1835,301.0,Budget-friendly,1,0,0,0,0,0,1
3,2990,414707.88204603177,335976.6,751520.0486499999,full renovation,2990,301.0,Budget-friendly,1,0,0,0,0,0,1
4,2068,414707.88204603177,301393.24999999994,776262.4892999999,full renovation,2068,301.0,Budget-friendly,1,0,0,0,0,0,1
5,1053,414707.88204603177,74037.08,356712.8733,bedroom,170,168.99065420560748,Budget-friendly,1,0,1,0,0,0,0
5,1053,414707.88204603177,74037.08,356712.8733,bathroom,90,84.56697819314641,High-end,1,1,0,0,0,0,0
5,1053,414707.88204603177,74037.08,356712.8733,other/custom,200,147.99065420560748,Mid-range,1,0,0,0,0,1,0
6,1169,411811.87474069337,93216.38,300209.8723,bedroom,190,186.57575757575756,High-end,1,0,1,0,0,0,0
6,1169,411811.87474069337,93216.38,300209.8723,bathroom,99,91.45454545454545,High-end,1,1,0,0,0,0,0
6,1169,411811.87474069337,93216.38,300209.8723,living room,248,165.36363636363637,Mid-range,1,0,0,0,1,0,0
7,1288,411811.87474069337,88814.04000000001,441123.715,bedroom,215,204.32867132867133,Mid-range,1,0,1,0,0,0,0
7,1288,411811.87474069337,88814.04000000001,441123.715,bedroom,232,204.32867132867133,Mid-range,1,0,1,0,0,0,0
7,1288,411811.87474069337,88814.04000000001,441123.715,bathroom,109,97.27972027972028,High-end,1,1,0,0,0,0,0
8,1794,413772.4007903968,217425.43,640979.8972499999,full renovation,1794,301.0,High-end,1,0,0,0,0,0,1
9,1037,414707.88204603177,80675.32,366889.85355,full renovation,1037,145.89719626168224,Budget-friendly,1,0,0,0,0,0,1
10,1039,414396.62153522094,80675.32,295700.15859999997,full renovation,1039,146.15887850467288,Budget-friendly,1,0,0,0,0,0,1
11,1008,414396.62153522094,81686.3,341864.99380000005,bedroom,163,163.10280373831776,High-end,1,0,1,0,0,0,0
11,1008,414396.62153522094,81686.3,341864.99380000005,bathroom,86,81.7632398753894,Budget-friendly,1,1,0,0,0,0,0
11,1008,414396.62153522094,81686.3,341864.99380000005,kitchen,188,142.10280373831776,High-end,1,0,0,1,0,0,0
12,806,415328.9046487665,62356.23,296281.29089999996,bedroom,153,136.6728971962617,Budget-friendly,1,0,1,0,0,0,0
12,806,415328.9046487665,62356.23,296281.29089999996,bathroom,80,69.17757009345794,Budget-friendly,1,1,0,0,0,0,0
12,806,415328.9046487665,62356.23,296281.29089999996,other/custom,191,115.67289719626169,Budget-friendly,1,0,0,0,0,1,0
13,4036,414396.62153522094,441007.58,1131685.51845,full renovation,4036,301.0,Mid-range,1,0,0,0,0,0,1
14,872,413772.4007903968,70705.96,325985.7302,bedroom,154,145.30841121495328,High-end,1,0,1,0,0,0,0
14,872,413772.4007903968,70705.96,325985.7302,bathroom,80,73.28971962616822,Mid-range,1,1,0,0,0,0,0
14,872,413772.4007903968,70705.96,325985.7302,living room,196,124.30841121495327,Mid-range,1,0,0,0,1,0,0
15,763,413772.4007903968,66121.15,203580.33329999997,bedroom,135,131.0467289719626,Budget-friendly,1,0,1,0,0,0,0
15,763,413772.4007903968,66121.15,203580.33329999997,bathroom,76,66.49844236760124,Mid-range,1,1,0,0,0,0,0
15,763,413772.4007903968,66121.15,203580.33329999997,other/custom,180,110.04672897196262,Mid-range,1,0,0,0,0,1,0
16,798,414707.88204603177,70903.97,235088.2226,bedroom,161,135.62616822429908,Mid-range,1,0,1,0,0,0,0
16,798,414707.88204603177,70903.97,235088.2226,bathroom,87,68.6791277258567,High-end,1,1,0,0,0,0,0
16,798,414707.88204603177,70903.97,235088.2226,kitchen,173,114.62616822429906,Mid-range,1,0,0,1,0,0,0
17,923,413772.4007903968,64704.42,251330.06755,bedroom,155,151.98130841121494,Mid-range,1,0,1,0,0,0,0
17,923,413772.4007903968,64704.42,251330.06755,bathroom,84,76.46728971962617,Budget-friendly,1,1,0,0,0,0,0
17,923,413772.4007903968,64704.42,251330.06755,living room,187,130.98130841121494,Budget-friendly,1,0,0,0,1,0,0
18,924,411811.87474069337,75866.57,249273.62775,bedroom,151,152.11214953271028,Mid-range,1,0,1,0,0,0,0
18,924,411811.87474069337,75866.57,249273.62775,bathroom,81,76.52959501557632,High-end,1,1,0,0,0,0,0
18,924,411811.87474069337,75866.57,249273.62775,other/custom,181,131.11214953271028,High-end,1,0,0,0,0,1,0
19,1170,413772.4007903968,93472.02,355244.063,bedroom,234,186.72494172494171,High-end,1,0,1,0,0,0,0
19,1170,413772.4007903968,93472.02,355244.063,bedroom,208,186.72494172494171,Mid-range,1,0,1,0,0,0,0
