renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,renovation_cost,pre_renovation_cost,post_renovation_value,location
"[""Bathroom"", ""Living room""]",0,1,464,301.0,budget-friendly,1,2292,81970.57,348850.78,384522.25367500004,334674.9581336589
"[""Bedroom"", ""Kitchen""]",1,0,340,135.9532710280374,high-end,1,961,57656.93,279775.29,311391.96494999994,473835.47798471845
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1461,0.0,mid-range,0,1765,201377.1,493946.93,587621.6636,473835.47798471845
"[""Living room"", ""Other/Custom""]",0,0,752,0.0,mid-range,0,2516,77752.99,476301.66,507938.3767499999,635761.4082269554
"[""Kitchen"", ""Other/Custom""]",0,0,782,301.0,high-end,1,2579,100388.44,489242.72,544386.8276,749690.1337423729
"[""Full renovation""]",7,4,3606,0.0,budget-friendly,0,3606,433963.92,701661.55,838485.55225,764427.3883938657
"[""Bathroom"", ""Other/Custom""]",0,1,276,0.0,high-end,0,845,47256.33,304335.82,328706.061025,474953.67957478453
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,2,2063,0.0,mid-range,0,3464,324150.75,688656.31,833298.7401625001,768381.9144879236
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,998,0.0,budget-friendly,0,1588,76692.47,482809.55,527543.72075,718133.5629715051
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,5,2964,644.0,mid-range,1,4038,543474.59,521116.01,619426.5495788461,583628.098793705
"[""Bathroom"", ""Other/Custom""]",0,1,550,151.0,mid-range,1,2094,81225.07,567446.59,610055.88475,586295.9356004093
"[""Living room"", ""Kitchen""]",0,0,625,0.0,budget-friendly,0,1805,73408.18,557506.53,605167.3391999999,474032.3731833224
"[""Bedroom"", ""Other/Custom""]",3,0,1182,322.0,mid-range,1,1958,170974.15000000002,382914.93,443156.66426249995,442581.28692691075
"[""Bedroom"", ""Bathroom""]",5,4,2017,966.0,mid-range,1,3090,393787.81,582732.36,693451.5083999999,768096.9796926685
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1657,945.0,mid-range,1,2026,302402.79000000004,533149.27,632543.5267642858,421138.5496460387
