num_of_bedrooms,num_of_bathrooms,property_size,price,description,location
3.0,2.0,1684.0,850000.0,occupying prime position mottrams desirable streets unique opportunity comprises individual plots includes detached bungalow planning permission granted construction additional detached homes approved plans shown photos plans amended redesigned suit buyers preferred development approach existing bungalow forms plot provides excellent base refurbishment extension complete redevelopment generous internal layout expansive gardens enhance sites overall potential plots offer superb scope newbuild homes approved scheme alternate designs subject consent rare highly versatile site presents outstanding prospect developers investors buyers seeking bespoke project prestigious mottram location set quiet established residential area property ideally situated close local amenities reputable schools scenic countryside walks major transport links opportunities calibreparticularly subdividable plots flexible granted planning permissionsare exceptionally scarce mottram,569000.0
3.0,2.0,1344.0,650000.0,welcome stunning threebedroom apartment prestigious nv buildings offering unparalleled living experience heart salford quays property combines spacious contemporary design breathtaking waterfront views making truly exceptional home entering bright inviting hallway stylish wallpaper light wood flooring sets tone rest apartment central space provides easy access main living areas bedrooms ensuring seamless flow home kitchendiningliving room heart apartment expansive openplan kitchen dining living area measuring 464 m x 792 m 153 x 260 space perfect modern living entertaining sleek dark kitchen features highquality integrated appliances striking central island breakfast bar providing great focal point light wood flooring continues living area bathed natural light large windows bedrooms bathrooms apartment boasts wellproportioned bedrooms master suite 450 m x 302 m 149 x 911 serene retreat builtin wardrobe luxurious ensuite bathroom 337 m x 285 m 111 x 94 featuring large walkin shower second bedroom measuring 464 m x 305 m 153 x 100 bedroom 255 m x 278 m 84 x 91 generously sized ample space storage property includes separate family bathroom 219 m x 159 m 72 x 53 convenient wc 151 m x 160 m 411 x 511 bathrooms finished high standard elegant neutral tiling modern fixtures outdoor space views key feature apartment private terraces larger terrace accessible living area measures 551 m x 241 m 181 x 711 offers stunning panoramic views water ideal spot morning coffee evening drinks second terrace located main bedroom key features location apartment rare opportunity acquire spacious highquality home salford quays soughtafter developments nv buildings perfectly positioned enjoying vibrant waterfront lifestyle fantastic selection shops bars restaurants nearby excellent transport links including mediacityuk metrolink station provide easy access manchester city centre making ideal choice professionals seeking cosmopolitan lifestyle,495000.0
6.0,2.0,2712.0,650000.0,lancashire properties proud present excellent sixbedroom deceptively spacious detached house upper chorlton road beautifully maintained property spans floors offering generous living space ideal large families investors located highly soughtafter peaceful residential area home offers perfect balance convenience comfort situated upper chorlton road property benefits excellent location local amenities right doorstep including tesco extra post office local grocers subway variety popular takeaways located withington road centrally positioned walking distance reputable schools manley park infants school manley park primary school william hulmes grammar school surrounded diverse community local mosques churches nearby excellent transport links frequent bus routes 85 86 etc providing easy access manchester city centre university campuses walking distance scenic green spaces including manley park alexandra park perfect family recreation relaxation ground floor main entrance opens welcoming communal hallway provides access spacious welllit reception rooms ideal relaxation entertaining ground floor features fully fitted modern kitchen equipped highquality fixtures ample storage space property benefits substantial double extension added later stage floor comprises expansive master bedroom complemented additional wellproportioned double bedrooms size family bathroom separate toilet offering ample space comfortable practical family living second floor features tow exceptionally spacious bedroom wc ideal use master suite guest accommodation externally property boasts large rear garden perfect outdoor gatherings summer enjoyment private driveway providing convenient offroad parking multiple cars basement multiple dry storage rooms basement store unwanted items council tax band e rare opportunity acquire substantial family home ownership family decades manchesters desirable residential areas book viewing today exceptional property sold disclaimer property details intended serve general guide prospective purchasers lancashire properties hold authority provide warranties guarantees relation property like draw attention prospective buyers fact effort provide accurate realistic description specific survey detailed inspection undertaken respect property services appliances fixtures fittings equipment double glazing mentioned particulars purchasers advised satisfy type quality extent double glazing installed purchasers strongly recommended conduct independent surveys inspections investigations prior proceeding purchase inclusion appliances services particulars imply working order tested whilst effort ensure information provided accurate reliable aspect particular importance contact office verification council tax band e trafford metropolitan borough council tenure freehold parking options driveway street garden details rear garden,900195.2857142857
4.0,2.0,1620.0,475000.0,nestled quiet avenue soughtafter area close open countryside modern detached property offers luxurious inviting living space boasting bedrooms ensuite bathrooms reception rooms recently renovated kitchendiner conservatory property exudes peaceful ambiance contemporary design highquality finishes accommodation briefly comprises entrance hall lounge open plan dining kitchen dining room utility room downstairs wc conservatory integral garage utility room ground floor spacious conservatory provides serene spot relax enjoy garden floor spacious landing leading double bedrooms ensuite bathrooms forth single bedroom family bathroom additional features include offstreet parking garage ensuring convenience residents perfect families seeking stylish home prime location property rare find combines modern living comfort elegance nt miss opportunity dream home contact today arrange viewing epc grade c important note potential purchasers tenants endeavour particulars accurate reliable constitute form offer contract relied statements representation fact services systems appliances listed specification tested guarantee operating ability efficiency given photographs measurements taken guide precise floor plans included scale accuracy guaranteed require clarification information points contact especially traveling distance view potential purchasers fixtures fittings mentioned agreed seller potential tenants properties available minimum length time exception short term accommodation contact branch details security deposit months rent required rent paid month advance tenants responsibility insure personal possessions payment utilities including water rates metered supply council tax responsibility tenant cases ground floor entrance hall composite door aspect radiator stairs floor doors dining room lounge kitchen wc utility area understairs storage cupboard dining room 278 x 350 upvc double glazed window aspect radiator wc 242 x 088 fitted piece suite comprising wc wash basin radiator upvc double glazed window aspect integral garageutility 250 x 349 fitted wtih worktops sink space dryer worcester combi boiler fitted 2024 lounge 416 x 412 gas fire set feature surround radiator upvc french doors rear garden kitchen 307 x 561 fitted range gloss base units wall mounted storage cupboards complemented laminated worktops tiled splashbacks half bowl sink drainer integrated washing machine dishwasher fridge freezer prima double oven oven grill microwave ring gas hob extractor hood breakfast bar radiator upvc door conservatory conservatory 282 x 369 upvc french doors rear aspect electric underfloor heating floor landing storage cupboard radiator doors bedrooms bathroom bedroom 370 x 379 fitted range wardrobes upvc double glazed windows aspect radiator open dressing area dressing area 186 x 189 storage cupboards radiator door ensuite bathroom ensuite bathroom 171 x 226 fitted piece suite comprising wc pedestal wash basin shower cubicle radiator upvc double glazed window aspect bedroom 248 x 418 upvc double glazed window rear aspect radiator storage cupboard door ensuite bathroom bedroom 264 x 320 fitted range wardrobes drawers radiator upvc double glazed window rear aspect bedroom 214 x 319 upvc double glazed window rear aspect radiator bathroom 173 x 262 fitted piece suite comprising wc pedestal wash basin panel bath hand held shower radiator garage 232 x 189 door exterior property complemented exterior driveway provides parking vehicle adjacent lawned garden rear good sized enclosed garden patio lawned areas,504666.6666666667
4.0,1.0,1456.0,545000.0,home comes market feels truly special stunning bedroom detached property church brow certainly true labour love current owners completed comprehensive renovation resulting beautiful ready home sure impress approached high hedge provides excellent privacy driveway provides generous parking leads double garage neat lawn door leads practical entrance vestibule limestone flooring ideal muddy boots country walks step main house immediately greeted open plan entrance hall offering view cleverly designed multilevel living space makes home unique kitchen sits upper level features modern cabinetry fully integrated appliances steps lead dining area perfectly suited family meals overlooking main lounge balustrade dining area steps descend lounge real showstopper multifuel log burner set limestone hearth forms focal point room large picture window rear frames breathtaking views surrounding landscape bedrooms beautifully styled rich luxurious wallpapers bedrooms comfortably accommodate double beds bedroom ideal nursery home office bathroom boutique style feel featuring piece suite including freestanding bath walkin shower enclosure externally south west facing rear garden provides wonderful space relax enjoy sunsets patio lawned areas addition kitchen private enclosed yard perfect enjoying morning coffee sunshine location church brow highly regarded location easy set heart mottram village offers perfect combination feeling tucked away rural remaining exceptionally connected step outside door ll find mottram c e primary school mottram parish church stones throw away warhill farm directly opposite horses seen coming going adding village charm countryside walks right doorstep sense village life enhanced stunning surrounding views despite peaceful setting connectivity excellent motorway links close broadbottom hattersley railway stations offer regular services manchester city centre making ideal location countryside living commuting entrance vestibule window elevation radiator door entrance hall open plan kitchen dining areas space features fitted carpets ceiling wall lights radiator plus access storage cupboard perfect coats shoes right open plan access kitchen whilst small set stairs leads dining area hallway providing access bedroom areas kitchen 363 m x 361 m 1111 x 1110 fitted matching range base eye level units coordinating quartz worktops inset sink drainer mixer tap built eyelevel hotpoint electric oven grill ring induction hob integrated height neff fridge freezer integrated dishwasher engineered oak herringbone flooring downlights ceiling door leading garden open plan stairs leading dining area bathroom 340 m x 274 m 112 x 90 luxurious piece bathroom suite comprising freestanding bath gold mixer taps walk shower enclosure stone resin base rainfall style shower additional handheld shower attachment plus recessed shelving vanity unit inset sink hidden cistern wc porcelain tiled walls gold edging porcelain tiled flooring downlights ceiling heated towel rail dining area 262 m x 427 m 87 x 140 window elevation balustrade overlooking lounge area ceiling light radiator stairs leading lounge lounge 546 m x 427 m 1711 x 140 window rear elevation stunning countryside views inset log burning stove timber mantle limestone hearth double radiators ceiling light door leading rear garden inner hallway access garage access bedroom stairs lower level access bedrooms master bedroom 378 m x 357 m 125 x 119 windows rear elevation plantation shutter blinds fitted wardrobes radiator ceiling light bedroom 338 m x 366 m 111 x 120 windows rear elevation plantation shutter blinds radiator ceiling light bedroom 198 m x 366 m 66 x 120 window elevation double radiators ceiling light bedroom fourstudy 211 m x 229 m 611 x 76 window rear elevation plantation shutter blinds radiator ceiling light double garage double garage electric roller door window elevation wall mounted worcester combi boiler utility area comprising plumbing automatic washing machine space tumble dryer space counter fridge counter freezer worktop space including stainless steel sink drainer mixer tap access loft crawlspace stairs door outside gardens kitchen find private enclosed garden designed morning sun mediterranean style porcelain floor tiles modern slatted fencing perfect spot sit morning coffee taking views main garden south west facing features patio area leading lawn,595000.0
3.0,1.0,721.0,320000.0,king edward road beautifully renovated home hyde finished exceptional standard offered market onward chain detail carefully considered create stylish welcoming space ready straight step inside hallway sets tone rest property leading bright airy living room perfect space relax long day plenty natural light comfortable feel house kitchen transformed sleek contemporary heart home generous room cooking dining entertaining double doors open garden making ideal setting family gatherings summer evenings friends upstairs bedrooms thoughtfully designed space larger rooms perfect main guest bedrooms room ideal nursery study home office modern family bathroom completes floor fitted highquality fixtures finished fresh clean look property large driveway provides ample offroad parking leading garage additional storage secure parking property offered chain allowing smooth purchase quicker movein location provides excellent convenience local shops schools transport links close offering peaceful welcoming retreat end day,569000.0
4.0,1.0,1335.0,395000.0,greenco property group delighted welcome presented fourbedroom midterraced property offers generous living space stylish modern finish making ideal choice families firsttime buyers investors situated popular residential area home offered sale onward chain vacant possession ensuring smooth hasslefree purchase step welcoming hallway leads bright airy reception rooms perfect family living entertaining guests large modern kitchen rear provides ample storage work surfaces making practical stylish space cooking dining property ready need renovation upstairs ll find wellproportioned bedrooms offering flexibility family needs home office space guest accommodation contemporary threepiece bathroom suite adds tough elegance complementing homes modernised interior externally property benefits lowmaintenance rear yard ideal outdoor seating small garden area onstreet parking available home located friendly wellconnected neighbourhood devonshire street perfectly positioned convenience ll find local shops supermarkets short walk away excellent schools parks families transport links superb easy access manchester city centre road public transport making ideal commuters salford university mediacityuk easy reach adding appeal professionals students property close range places worship making ideal seeking communityfocused location bedrooms prime location property offers fantastic rental potential investors seeking strong yields highdemand area modern finish proximity key amenities highly attractive option tenants,511428.5714285714
2.0,2.0,655.0,190000.0,wellproportioned double bedroom bathroom floor apartment merlin house boasting spacious rooms fabulous transport links amenities doorstep situated fog lane apartment boasts superb transport links including easy access burnage train station taking manchester piccadilly 10 minutes walking distance vibrant didsbury village charming heaton moor village offering diverse range shops cafes restaurants green space regarded schools property briefly comprises large entrance hall storage proportioned double bedrooms master boasting modern shower room walk shower sink wc main bathroom recently renovated benefits piece suite shower bath open plan loungediner provides ample space seating dining table entertaining added bonus juliette balcony dining area modern kitchen boasting range wall base units space appliances apartment benefits allocated offstreet parking merlin house popular wellmaintained development perfect time buyers,1063571.4285714286
4.0,3.0,397.0,315000.0,welcome exceptional fourbedroom terraced townhouse located highly desirable familyfriendly park square development ashtonunderlyne beautifully presented thoughtfully renovated recent years spacious home offers contemporary living welldesigned floors added benefit private driveway converted garage landscaped rear garden approach property greeted paved double driveway providing offroad parking vehicles garage cleverly converted currently utilised home gym complete electric upandover door perfect fitness enthusiasts needing flexible utility space entering door step welcoming hallway sets tone rest home immediately left modern wc convenient feature guests family alike hallway leads rearfacing kitchendining room bright sociable space fitted sleek cabinetry ample worktop space integrated appliances welldefined dining area perfect hub daily family life entertaining friends floor boasts spacious lightfilled lounge offering relaxing space evenings movie nights large window juliette balcony allow plenty natural light enhancing warm inviting feel room floor completed bedrooms bedroom spacious double fitted wardrobes desk space room ready personalisation second bedroom whilst compact suitable nursery toy room home office shown upstairs second floor home generously sized principal bedroom benefits ensuite shower room providing private retreat homeowners featuring fitted storage room sleek clutter free wellsized double bedroom located property fitted furnishings room benefits walkin wardrobe beautiful contemporary bathroom completes level fitted modern white suite including bathoverhead shower wash basin wc rear home private enclosed garden perfect outdoor dining summer barbecues simply enjoying sunshine space offers ideal balance low maintenance outdoor enjoyment making suitable families couples professionals alike situated corner tameside hospital property ideal healthcare professionals seeking easy access local medical services area wellserved transport links schools local amenities ashton town centre stamford park easy reach,504666.6666666667
5.0,2.0,2249.0,400000.0,truly exceptional fivesix bedroom period home whitley outstanding doublefronted semidetached period residence brimming character charm elegance handsome façade lies 2249 square feet beautifully renovated living space spread spacious floors perfect larger families seeking style substance situated sunny everpopular st malo road highly soughtafter district whitley home catchment area outstanding woodfield primary school short stroll picturesque haigh hall plantations country park area renowned impressive period properties appeal families looking blend tradition convenience internally home tastefully modernised retaining period charm welcoming original glazed entrance porch leads grand reception hallway beautifully preserved spindled staircase makes striking impression convenient wccloakroom located hallway generous reception spaces ground floor stylish formal lounge showcasing classic features decorative ceiling coving dado rail second reception room mirrors elegance rear warm inviting snug features fabulous open fireplace woodburning stove doubleglazed french doors opening rear garden traditional kitchen blends functionality charm complete range integrated appliances contrasting wood laminate worktops separate utility room houses laundry appliances keeping main living spaces clutterfree floor accessed stunning returning staircase feature window flooding space natural light level offers spacious bright bedrooms appeal luxurious family bathroom standout feature comprising fourpiece suite vanity unit wc slipper bath separate walkin shower second floor true highlight fully converted master suite spans entire level expansive retreat includes sitting area optional sixth bedroom en suite shower room velux roof windows fill space natural light externally home enjoys private lowmaintenance rear garden sunny southwesterly aspect garden includes mix lawn gravelled seating areas perfect relaxing entertaining rare opportunity acquire substantial beautifully presented family home whitleys desirable locations early viewing highly recommended fully appreciate quality space lifestyle property offer,512000.0
