price,description,location,num_of_bedrooms,num_of_bathrooms,material_grade,structural_changes,type_of_renovation,sqft_renovated,sqft_to_add,property_size
735000.0,an impressive five bedroom three bathroom two ensuite detached property with elegant cheshire brick elevations stunning open plan family living kitchen beautifully landscaped gardens and picturesque open aspect views ideally positioned on chester road just a short distance to nearby hazel grove poynton and bramhall villages and the excellent section of amenities on offer good local primary and secondary schools are within easy reach and for any commuters the a555a34 and both hazel grove and poynton train stations are both within 12 miles contact mark buckley today to arrange your personal viewing  quote mb0874 with over 2000 sq ft of thoughtfully designed living space spread across three floors this home is ideal for family living at its heart lies a stunning open plan family living kitchen area featuring an exposed oak extension with a partial glass ceiling and bifolding doors that seamlessly connect the indoor and outdoor spaces the super stylish kitchen is equipped with fully integrated appliances a central island with seating space and ample room for dining and seating areas creating a warm and inviting atmosphere for everyday living the accommodation begins with a charming storm porch leading into a grand entrance hallway complete with a striking staircase the spacious dualaspect living room featuring a cozy multifuel burner opens through double doors to the beautifully landscaped garden an officeplayroom at the front of the house offers builtin storage while the magnificent family kitchen area is complemented by a separate utility room and a convenient downstairs cloakroomwc on the first floor you will find four generously proportioned bedrooms including bedroom two with its own ensuite shower room alongside a luxurious family bathroom suite that has been recently fitted the second floor leads to the master suite which features a spacious double bedroom with builtin wardrobes and breathtaking open countryside views the luxurious master bathroom includes a walkin shower separate bath and his and hers wash basins set well back from the road and screened by mature hedgerows the property boasts a sweeping driveway that provides parking for several vehicles the rear garden is small easy to maintain south facing garden designed by an rhs gold medal winner featuring multiple seating areas a lush lawn with a high degree of privacy and stunning viewstenure freehold council tax band e epc rating c location conveniently located on chester road this property is just a stones throw from hazel grove poynton and bramhall offering a fantastic selection of specialist shops restaurants bistros and gastro pubs within easy reach commuters will appreciate the proximity to the a555 and a34 with hazel grove train station just 076 miles away and poynton train station 12 miles away excellent local schools are easily accessible including norbury primary school at 044 miles and hazel grove high school within 05 miles,596428.5714285715,,,mid-range,1,,,,
400000.0,this threebedroom semidetached house is for sale and is situated at the end of a quiet culdesac on corbar road in the mile end area of stockport the property is in good condition and is arranged over two floors with a further room accessible by separate stairs that provides additional storage the large entrance hall connects to two reception rooms and a kitchen patio doors from the rear dining room open onto a large private garden which is mainly laid to lawnan ideal setting for outside activities and relaxing there is also a detached garage with electricity and offroad parking at the front of the property upstairs you will find three bedroomstwo doubles with the main bedroom including builtin wardrobes and one single the bathroom and a separate wc are also on the first floor offering convenience for a family local amenities are close at hand with stockport school and stockport grammar both within walking distance making this location excellent for families with children the property has a council tax band d for commuters or those seeking easy access to manchester city centre both davenport and woodsmoor train stations are nearby trains from these stations typically take just 1520 minutes into the city centre the popular stockport market merseyway shopping centre and a range of cafés and green spaces such as alexandra park are easily accessible on foot or by a short drive adding to the areas appeal,699166.6666666666,,,,0,,,,
235000.0,a 4 bedroom midterrace house located in bolton currently being occupied as a hmo there are various valuable amenities within walking distance of the property and it is able to generate fantastic rental returns for investors looking for a rewarding investment this is a brilliant opportunity the property features 4 bedrooms 1 bedroom with ensuite lounge kitchen bathroom garden ground space and street parking and has several tenants currently situated investment details it currently produces an annual gross income of 23100 with tenants currently situated considering the purchase price and the potential rental income that could be earned in future years this will make for a worthwhile addition to an investors property portfolio for greater detail on this propertys investment potential please see the let property pack linked below if you are interested please call us let property is committed to facilitating a smooth transaction process between buyer and seller to allow for maximum commitment to the sale from both parties a buyers premium will apply in order to secure a property,509999.1666666667,4.0,,high-end,0,,,,
799950.0,leyland mill farm is an incredible barn conversion set within a small leyland mill farm is an incredible barn conversion set within a small community of converted farm buildings in this wonderful location on the edge of haigh hall estate the property is the largest of the conversions offering an impressive square footage extending to a generous 3820 sq ft resting overlooking woodlands to the rear the stone built barn engages all of the characteristics of a barn conversion with stunning features including a huge vaulted lounge beamed ceilings and large barn windows overlooking both the courtyard to the front and the grounds to the rear with the plot extending to circa 06 of an acre if any client is looking for a home in both a rural setting and yet with a whole range of facilities close by including good schools transport links shops and leisure facilities this spacious home offers all of these features the stone property was converted approximately 28 years ago by our current clients with a sympathetic eye to this wonderful location and quite unique project and ensuring that there is not only privacy and peace but with the assurance that the property is not isolated either the accommodation briefly comprises of a welcoming entrance hallway and large arched window enhanced by stone lintels which leads into the reception area which features tiled floors and a stone fire surround the accommodation flows into a separate dining room and through into the impressive lounge extending to over 29 complete with vaulted ceiling impressive a frame beams the staircase rising to the first floor via a minstrel gallery and further two feature arched windows one with access in to the gardens moving to the other side of the property the further reception rooms include an additional and cosy living room set around a contemporary fire and with french doors leading on to the patio area and the lovely farmhouse style kitchen including space for a range cooker and central island there is a further dining area this room could equally be used as a home office and a handy laundry room and off lying cloak room completing the ground floor the first floor offers four very goodsized bedrooms the master bedroom enjoys a stunning vaulted ceiling and a walk in wardrobe with a smart modern shower room complete with double shower and vanity unit the three further bedrooms are all good doubles and are serviced by a family bathroom comprising of a freestanding bath separate shower wall hung wash hand basin and wc neutral tiling completes the room externally the home provides lots of outside space for any client with a love of the outdoors the property is approached via a small driveway off hall land end leading through to a shared cobbled and grassed courtyard wrought iron railings have been added to provide a private section of the front area and driveway parking is also available in this area the rear garden is of an exceptional size included within the grounds are several seating areas one finished with york stone flags to provide a perfect spot for outdoor entertaining there are several lawned areas too perfect for games and the site is bordered by mature woodlands viewings of this quite incredible home are now welcomed,336900.0,,,mid-range,0,,,,
1950000.0,a superb and once in a lifetime opportunity for many types of buyers highgate farm consists of two seperate large detached dwellings including original farmhouse and spectacular converted barn which are beautifully presented and must be viewed set on a 35 acre plot other features include stables and huge ancillary buildings containing workshops and garages overall spanning over 10000 sqft set in an exquisite semirural location in thornham with royton centre easily accessbile epc  c ryder  dutton are delighted to offer for sale highgate farm  barn an ideal opportunity for many types of buyers consisting of two large separate detached large dwellings on a 35 acre plot including original farmhouse and spectacular converted barn which are both beautifully presented and must be viewed highgate barn the barn conversion has been to the highest of standards with a stunning entrance hall with bespoke glass balustrade staircase leading up to the first floor living areas there is a large galleried landing with feature window currently used an office space a spacious lounge is just off with log burner first floor bathroom boiler room and stunning open plan living area with high specification kitchen complete with island and another log burner the first floor living areas are full of exposed beams and remote control and rain sensor skylight windows making the space bright and airy to the ground floor there are three large double bedrooms each with ensuite plus handy utility room with access to the garden and storage room overall the barn measures approximately 2987 sqft highgate farm the main farm house is equally impressive and large measuring approximately 2862 sqft this has a more traditional feel compared to the ultramodern barn conversion but is still completed to the highest of standards a porch leads to a lovely cosy sitting room there is a dining area with patio doors onto the garden opening to a large dual aspect lounge and an open plan kitchendiner complete with a timeless farmhouse kitchen a utility space is just off with a downstairs shower room with access to the large garage upstairs are four good sized bedrooms all with ensuite other features include stables and huge ancillary buildings containing workshops and garages ideal for buyers with large businesses or those with equestrian interests overall with both dwellings and the ancillary buildings the whole property spans over 10000 sqft the property has extensive gardens with stunning panoramic views and a summerhouse plus plenty of parking highgate farm is located in an exquisite semirural location in the ever sought after area of thornham it provides easy access to well regarded primary and secondary schools whilst just a short walk to tandle hill park this is perhaps a once in a generation opportunity to acquire such a special and unique property early viewing is essential,547500.0,,,high-end,0,,,,
220000.0,welcome to this stunning ultramodern upperfloor apartment situated in a stylish development at the heart of withington ideally located close to the library shops and convenient public transport links this apartment offers both luxury and practicality step inside to find a sleek openplan living space that seamlessly integrates the living room and kitchen creating a perfect environment for both relaxation and entertaining the contemporary design is complemented by highquality finishes and fixtures throughout the apartment features two spacious double bedrooms whilst the family bathroom ensures convenience for guests and family members alike enjoy the convenience of an internal lift that provides easy access to your home and take advantage of the gated allocated parking for added security the communal gardens offer a tranquil space to unwind while the private balcony provides a charming outdoor area ideal for a table and chairs where you can savor fabulous views of the surrounding area with no vendor chain this property is perfect for young professionals seeking a modern hasslefree living experience,485833.3333333333,,,high-end,0,,,,
1250000.0,occupying a substantial plot in one of sales most soughtafter residential settings an individually designed stylishly enhanced and substantial detached residence with four reception rooms and five bedrooms measuring circa 2500 sqft whilst being set in an exclusive gated position with an extensive secluded rear garden ideally located close to sale popular primary and secondary schools and key transport links description a substantial  majestic detached residence located on one of sales most sought after roads positioned on a generous plot this stunning five bedroom family home offers accommodation over 2500 sqft this wonderful detached residence is certain to offer a superb opportunity for any discerning buyer to create a forever home this exquisite residence is approached through a generous partwalled and gated entrance featuring a large gravel driveway which sets the tone for this magnificent home upon entering through the double doors you are greeted by a spacious hallway the expansive bayfronted living room boasts tasteful decor a feature fireplace and access to the rear garden complemented by a second versatile reception room currently utilized as a home office the attractive flooring leads to the heart of the home the kitchendining area which offers openplan living with a stunning kitchen featuring a breakfast bar quartz work surfaces and a bay window along with two additional large windows that allow an abundance of natural light to fill the space adjacent to the kitchen is another home office and a practical utility room that provides access to a generous integrated double garage with a vaulted ceiling for ample storage as well as a final reception room currently serving as a home gym with french doors leading to the garden a convenient ground floor wc is also available description on the first floor accessed via the spacious landing are five generously sized bedrooms with the master bedroom particularly spacious and featuring a dressing room and ensuite shower room in addition to a threepiece family bathroom the landing also offers plenty of storage cupboards externally the rear garden is wellsized and enjoys a high degree of privacy primarily laid to lawn with a patio seating area raised planters and fenced boundaries the front of the property is accessed through gates with a brick wall perimeter and mature hedging while a large gravel driveway accommodates parking for at least five or six vehicles,928571.4285714284,,,mid-range,0,,,,
1700000.0,welcome to this exquisite detached dwelling nestled in the peaceful surroundings of westhoughton this breath taking property boasts 2 kitchens 4 double bedrooms 3 modern bathrooms the property sits on approximately 6 acres of land offering 4 stables a barn with power and lighting split over 2 floors currently used as a conventional barn easily adaptable to suit its new purchasers requirements a peaceful pond creating an idyllic lifestyle for equestrian enthusiasts and nature lovers fully to a superior standard the property features a spectacular modern kitchen with an inviting island seamlessly connecting to a spacious dining area bar and living space the ultimate entertainment space awaits complete with bifold doors leading to the great outdoors the property also offers a modern 2nd kitchen ideal to cater separately when entertaining or utilised as a utility room step into the cosy lounge or enjoy the latest blockbuster in the state of the art entertainmentcinema room or retreat to the tranquil master bedroom suite with a builtin closet and a luxurious en suite featuring a standalone bath overlooking the picturesque fields and a walkin shower located on jacks lane in westhoughton this property provides easy access to local supermarkets while maintaining its rural tranquillity amidst stunning landscapes the area also boasts an array of local shops bars and restaurants ensuring a vibrant community for families and upsizers alike convenient motorway links via the m61 and close proximity to prestigious schools such as bolton school make this property an ideal haven for discerning buyers seeking the perfect blend of luxury and convenience dont miss the opportunity to explore this exceptional property  schedule a viewing today and step into a world of refined elegance and countryside charm,280999.28571428574,,,high-end,0,,,,
400000.0,spacious 4bedroom semidetached home in the heart of sale moor village nestled in the popular and vibrant community of sale moor village this wellpresented fourbedroom semidetached home offers the perfect blend of space functionality and convenience ideally situated just a short walk from local amenities shops and transport links its an excellent choice for families or professionals seeking a comfortable and versatile home step inside through the welcoming porch into a bright entrance hallway leading to a generously sized openplan living and dining roomideal for entertaining or relaxing with family the kitchen is fitted with a range of base and eye level units providing ample storage and workspace and opens into a side leanto offering additional utility or storage space and access to the lowmaintenance rear garden which is neatly paved for easy upkeep upstairs the first floor boasts two spacious double bedrooms both featuring fitted wardrobes a single bedroom ideal as a home office or nursery and a wellappointed threepiece family bathroom the second floor features a converted loft offering a bright double bedroom complete with a velux skylight providing plenty of natural light to the front of the property youll find a walled driveway with ample parking space for multiple vehicles adding to the practicality of this charming home this property offers a superb opportunity to settle in a soughtafter location with everything you need on your doorstep early viewing is highly recommended,975000.0,,,,0,,,,
1000000.0,a beautifully presented chain free fivebedroom family home on the soughtafter brackenwood estate tumblewood drive is perfectly positioned for schools parks and local amenities with a huge private garden and versatile living spaces that offer real potential situated on the everpopular tumblewood drive in cheadle this wellpresented tudorstyle property offers generous space modern updates and excellent potential for further enhancement the location is superb close to bruntwood park major motorway and bypass links and a wide range of amenities including john lewis sainsburys david lloyd leisure life leisure and the village hotel cheadle its also just a short drive or a pleasant walk into cheadle village and within walking distance of the soughtafter ladybarn house school with kingsway school close by the welcoming entrance hall sets the tone for the home with its woodlook flooring natural light from two frontfacing windows and stairs rising neatly to the right to the left sits a versatile study with a charming bay window and wooden laminate flooring an ideal home office or a comfortable fifth bedroom if needed with that in mind this space leads conveniently through to a downstairs wc that could be a shower room the dualaspect living room offers an attractive and flexible area for daytoday living featuring an electric fire untested double wooden doors opening into the conservatory further double doors leading out to the patio and another set connecting to the dining room where a window frames views of the rear garden creating a pleasant backdrop the dining room flows through to the kitchen which in turn opens into a practical utility room housing the boiler a back door and an additional sink a separate sitting room at the front of the home provides a warm inviting retreat complete with french doors opening onto the garden and a working electric fire perfect for cosy evenings upstairs the galleried landing enjoys a bright and spacious feel thanks to its high ceiling chandelierstyle light fitting feature window to the front and a small balcony area to the left a short door leads into useful eaves storage the main bedroom benefits from two windows overlooking the garden and opens through an archway into a generous dressing room with a large frontfacing window an ensuite completes this lovely suite and an airing cupboard housing the water tank sits nearby another bedroom with wooden laminate flooring overlooks the rear garden and currently holds a single bed though it would comfortably take a double a further double bedroom features fitted wardrobes and a builtin desk while the family bathroom serves these rooms equipped with a bath a final spacious double to the front also enjoys fitted wardrobes and a fitted desk outside the property includes a detached garage with an electric door and a raised decked pergola to the rear providing a pleasant outdoor seating area beyond this lies a truly exceptional feature of the home an extensive beautifully maintained rear garden that forms part of an impressive 06acre estate thoughtfully landscaped and wonderfully private it is one of the largest residential gardens in the cheadle area mature trees established hedging and carefully curated planting create a sense of tranquillity and seclusion while the sheer scale of the garden offers extraordinary potential for outdoor living family enjoyment or future development subject to planning it is a rare standout space that sets this property apart the current owners love the space and layout  the owners love how the generous room sizes and wellbalanced layout create a home that flows effortlessly for both everyday living and entertaining the peaceful and highquality location  they really value the calm prestigious setting of the brackenwood estate where mature surroundings and minimal traffic make it feel private secure and wonderfully serene the garden and outdoor privacy  the expansive 06acre garden is a standout favourite offering exceptional space mature greenery and total seclusion making it a truly private retreat rarely found in the cheadle area we have noticed generous and impressive plot size 06 acre familyfriendly culdesac setting a sizeable home ideal for family living epc rating c living room 445m x 645m conservatory 3m x 321m dining room 38m x 445m kitchen 293m x 601m utility room 247m x 34m sitting room 409m x 445m hallway 411m x 493m studybedroom 5 277m x 422m wc 112m x 158m bedroom 1 386m x 445m dressing room 243m x 279m ensuite 239m x 245m bedroom 2 345m x 447m bedroom 3 302m x 447m bedroom 4 338m x 351m bathroom 215m x 344m landing 335m x 493m double garage 496m x 551m garden large mature garden to the rear of the home parking  garage parking  driveway disclaimer all descriptions images and marketing materials are provided for general guidance only and are intended to highlight the lifestyle and features a property may offer they do not form part of any contract or warranty whilst we take care to ensure accuracy neither shrigley rose  co nor the seller accepts responsibility for any inaccuracy that may be contained herein prospective purchasers should not rely on the details as statements of fact and are strongly advised to verify all information through their own inspections searches and enquiries and to seek confirmation from their appointed conveyancer before proceeding with any purchase,412500.0,,,mid-range,0,,,,
