source_row,property_size,location,renovation_cost,post_renovation_value,unit_type,sqft_renovated,sqft_to_add,material_grade,structural_change,reno_bathroom,reno_bedroom,reno_kitchen,reno_living_room,reno_other_custom,reno_full_renovation
0,2292,334674.9581336589,81970.57,384522.253675,bathroom,129,0.0,0,0,1,0,0,0,0,0
0,2292,334674.9581336589,81970.57,384522.253675,living room,335,301.0,1,1,0,0,0,1,0,0
1,961,473835.47798471845,57656.93,311391.96494999994,bedroom,164,0.0,2,0,0,1,0,0,0,0
1,961,473835.47798471845,57656.93,311391.96494999994,kitchen,176,135.9532710280374,2,1,0,0,1,0,0,0
2,1765,473835.47798471845,201377.1,587621.6636,bedroom,290,0.0,1,0,0,1,0,0,0,0
2,1765,473835.47798471845,201377.1,587621.6636,bedroom,313,0.0,0,0,0,1,0,0,0,0
2,1765,473835.47798471845,201377.1,587621.6636,bedroom,294,0.0,2,0,0,1,0,0,0,0
2,1765,473835.47798471845,201377.1,587621.6636,bathroom,138,0.0,1,0,1,0,0,0,0,0
2,1765,473835.47798471845,201377.1,587621.6636,kitchen,426,0.0,2,0,0,0,1,0,0,0
3,2516,635761.4082269554,77752.99,507938.3767499999,living room,439,0.0,0,0,0,0,0,1,0,0
3,2516,635761.4082269554,77752.99,507938.3767499999,other/custom,313,0.0,2,0,0,0,0,0,1,0
4,2579,749690.1337423729,100388.44,544386.8276,kitchen,450,0.0,2,0,0,0,1,0,0,0
4,2579,749690.1337423729,100388.44,544386.8276,other/custom,332,301.0,2,1,0,0,0,0,1,0
5,3606,764427.3883938657,433963.92,838485.55225,full renovation,3606,0.0,0,0,0,0,0,0,0,1
6,845,474953.67957478453,47256.33,328706.061025,bathroom,90,0.0,1,0,1,0,0,0,0,0
6,845,474953.67957478453,47256.33,328706.061025,other/custom,186,0.0,2,0,0,0,0,0,1,0
7,3464,768381.9144879236,324150.75,833298.7401625001,bedroom,320,0.0,2,0,0,1,0,0,0,0
7,3464,768381.9144879236,324150.75,833298.7401625001,bedroom,298,0.0,2,0,0,1,0,0,0,0
7,3464,768381.9144879236,324150.75,833298.7401625001,bedroom,297,0.0,1,0,0,1,0,0,0,0
7,3464,768381.9144879236,324150.75,833298.7401625001,bedroom,308,0.0,1,0,0,1,0,0,0,0
7,3464,768381.9144879236,324150.75,833298.7401625001,bedroom,258,0.0,1,0,0,1,0,0,0,0
