renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost,post_renovation_description,sqft_renovated_num,sqft_to_add_num,post_renovation_value,reno_bathroom,reno_bedroom,reno_kitchen,reno_living_room,reno_other_custom,reno_full_renovation
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 347}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 219}}","{""other"": {""Kitchen"": 3}}",[1],2.232134729176149,0.0684375,-0.41081099700270474,3.879099117331427,the façade of this semidetached residence presents a wellproportioned front elevation its symmetrical bay window framing the main entrance and adding visual balance to the composition the interior organisation is facilitated by a central hallway from which three doors lead out to the main living space on the left a kitchen extension on the right and two sleeping areas at the rear the hallways beamed ceiling rises to the front roof slope its timber work and simple plaster detail providing a straightforward unadorned backdrop to the homes essential functions the kitchen a key functional space features an lshaped layout with a worktop of approximately 35m in length sufficient for food preparation and cooking a builtin oven and extractor fan are neatly integrated into the surrounding cabinetry while a stainless steel sink sits under a window that floods the space with natural light,-0.24752475247524752,-0.0896551724137931,860400.4684999998,0,0,1,0,0,0
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [110], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [78], ""other"": {}}","{""bathrooms"": [1]}",[1],0.1511151570323168,0.0459375,-0.5053915674854469,0.5529134479070159,a sense of calm settles over the moment you step into this wellpresented semidetached home upon walking into the lounge youre immediately struck by the sense of balance and flow created by the smartly proportioned windows which allow a measured amount of natural light to fill the room the proportions of the space are neatly calibrated to accommodate the modest scale of the furniture creating a sense of quiet intimacy the bathroom is a standout feature boasting a tasteful combination of white ceramic tiling and a wallmounted sink the understated colour palette of the walls and the clever use of a recessed shower cubicle all contribute to a sense of streamlined practicality making this space a genuine pleasure to use the cleverly designed storage units add a useful touch of functionality to an otherwise uncluttered space throughout the property youll notice a clear attention to the cohesion of the interior spaces the muted tones and neutral hues used throughout the home work in harmony to create a sense of seamless continuity drawing your eye from one space to the next with a sense of quiet logic each room feels considered and wellthoughtout imbuing the home with a sense of understated charm,0.297029702970297,0.4482758620689655,394976.20638803294,1,0,0,0,0,0
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,"{""bedrooms"": [203, 97], ""bathrooms"": [94], ""other"": {""Kitchen"": 192}}","{""bedrooms"": [79, 85], ""bathrooms"": [44], ""other"": {""Kitchen"": 58}}","{""bedrooms"": [1, 3], ""bathrooms"": [3], ""other"": {""Kitchen"": 3}}","[1, 1, 1, 0]",0.812016385980883,0.05421875,1.4858007098168564,0.6796637848656123,the living room kitchen and two bedrooms flow smoothly from one another creating a clear and efficient internal organisation the layout works well for a small household with each space easily accessible from the central hallway the kitchen is a wellequipped space with a compact layout fitted cupboards provide ample storage and the worktops offer space for food preparation the rooms dimensions ensure that the kitchen area remains tidy even with the addition of a small dining table a wellpresented bedroom features a double bed positioned against the longer wall with a fitted wardrobe on the adjacent wall providing ample storage a window above the bed allows a gentle flow of natural light into the space the room is free from clutter and is ideal for a single or shared occupant with no superfluous furniture,1.702970297029703,1.3448275862068966,481929.141825,1,1,1,0,0,0
"[""Full renovation""]",4,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 849}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 95}}","{""other"": {""Full renovation"": 2}}",[1],0.0036413290851160674,0.0459375,2.228145021834276,0.22835466579992464,you enter the property through the front door which leads directly into a small wellproportioned hallway the entrance is flanked by a builtin storage unit to one side and a door to the living room on the other the layout facilitates movement through the house the living room is a functional space containing a threepiece suite and a wallmounted television a single window to the front brings in natural light on the opposite side of the room a door leads to the kitchen which features a builtin oven and a stainless steel sink to the rear of the property a small fitted bedroom is located with a window overlooking the adjacent pavement a second larger bedroom is accessed via a single step and features a builtin wardrobe,-0.24752475247524752,-0.0896551724137931,373880.7798,0,0,0,0,0,1
"[""Bedroom"", ""Other/Custom""]",4,0,"{""bedrooms"": [166, 178, 107, 163], ""bathrooms"": [], ""other"": {""Other/Custom"": 92}}","{""bedrooms"": [103, 122, 94, 18], ""bathrooms"": [], ""other"": {""Other/Custom"": 7}}","{""bedrooms"": [2, 2, 2, 1], ""other"": {""Other/Custom"": 1}}","[1, 0, 1, 1, 1]",0.9376422394173873,0.05265625,2.3381786532808873,1.2460436826955756,the rooms are arranged around a central staircase each leading off from a spacious hallway a dualaspect living space takes up the majority of the ground floor with a fitted kitchen area positioned at the rear and a sitting area at the front the kitchen contains a range of standardheight cupboards a builtin oven and a gas hob the sitting area is defined by a lowbacked sofa and a television stand against one wall upstairs one of the four sleeping areas features a builtin wardrobe and a window with a lock the room is carpeted in a midtone grey and contains a double bed positioned centrally beneath the window,2.792079207920792,2.2344827586206897,566699.1189199999,0,1,0,0,1,0
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [175, 92], ""bathrooms"": [], ""other"": {""Living room"": 223}}","{""bedrooms"": [15, 64], ""bathrooms"": [], ""other"": {""Living room"": 176}}","{""bedrooms"": [3, 1], ""other"": {""Living room"": 3}}","[0, 1, 1]",0.17478379608557124,0.05421875,0.3435864316283046,0.1767626091769134,a clear and orderly arrangement of furniture and possessions creates an uncluttered impression throughout the property the layout of the living room is thoughtful and proportionate with the focal point being a large square window that brings in a consistent flow of natural light a raised ceiling adds height to the space and the carefully positioned wallmounted shelves and units create a sense of balance the rooms functionality is enhanced by a cleverly concealed storage compartment providing ample space for the placement of books decorative items and other living essentials in the frontfacing bedroom the minimalist aesthetic is enhanced by the use of neutraltoned walls and a sleek minimalist bedframe which creates a sense of calm and serenity a carefully positioned floorstanding mirror adds depth to the space and the incorporation of a bedside storage unit ensures that the room remains clutterfree and functional,1.0742574257425743,0.45517241379310347,352084.8784259259,0,1,0,1,0,0
"[""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [98, 120], ""other"": {""Living room"": 156}}","{""bedrooms"": [], ""bathrooms"": [34, 15], ""other"": {""Living room"": 208}}","{""bathrooms"": [2, 1], ""other"": {""Living room"": 2}}","[0, 1, 0]",-0.19299044151115158,0.05171875,0.40012463158492945,-0.45068746973774243,as you enter the property the openplan living area flows seamlessly into the kitchen with a subtle partition separating the spaces to create a sense of distinction the dining area is positioned centrally flanked by tall windows that offer a glimpse of the surrounding houses in the living room a wellplaced chandelier casts a warm glow on the neutraltoned walls and the plush sofa soft furnishings add a touch of colour and texture while the lowbacked armchair provides a comfortable spot to relax the floortoceiling curtains help to filter the natural light creating a sense of calm the adjacent utility room cleverly tucked away from the main living space provides a practical solution for storing cleaning supplies and laundry equipment the property presents itself as a wellconsidered and thoughtfully laidout home with a clear emphasis on functionality each room is designed to serve a purpose and the overall aesthetic is one of understated elegance the propertys tidy appearance and meticulous attention to detail suggest a homeowner who values order and organisation creating a welcoming atmosphere for those who live here,0.8316831683168316,0.2482758620689655,259587.87458292686,1,0,0,1,0,0
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [106], ""other"": {""Kitchen"": 212}}","{""bedrooms"": [], ""bathrooms"": [30], ""other"": {""Kitchen"": 302}}","{""bathrooms"": [3], ""other"": {""Kitchen"": 2}}","[1, 1]",-0.17660446062812926,0.05171875,-0.10617300950543007,-0.26061074036612675,from the entrance hallway the layout of the ground floor unfolds into a compact yet practical living space a corridor off to the left provides access to the kitchen and a rear door leading out to the garden while a door at the far end leads to the front reception room the rear of the ground floor features a bathroom the kitchen is positioned off the corridor and features a compact worktop area with a sink unit and a range cooker a builtin larder unit provides additional storage space the flooring is covered with a durable vinyl finish the overall presentation of the home is wellmaintained with neutral colours used throughout the interior spaces the interior organisation is logical and functional with clear sightlines between rooms,0.27722772277227725,0.11724137931034483,281562.50903772685,1,0,1,0,0,0
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [157, 201], ""bathrooms"": [], ""other"": {""Kitchen"": 344}}","{""bedrooms"": [6, 176], ""bathrooms"": [], ""other"": {""Kitchen"": 72}}","{""bedrooms"": [1, 3], ""other"": {""Kitchen"": 2}}","[0, 1, 0]",-0.3186162949476559,0.046875,0.23987953822048338,-0.01668676148452647,the carefully maintained furniture and ornaments create a sense of order throughout the living space the lounge area is defined by a wellplaced partition separating it from the adjacent dining space wood floorboards in a warm oak finish extend from the entrance hall into the lounge and dining spaces creating a cohesive sense of flow the kitchen is a standout feature with a compact arrangement of shakerstyle units in a soft grey finish a single large islandstyle work surface provides ample space for food preparation and a builtin oven and induction hob integrate seamlessly into the space throughout the property the level of presentation is consistent with a uniform colour scheme and thoughtful use of textiles wellplaced rugs and wall art contribute to a welcoming atmosphere while maintaining a sense of restraint and simplicity,1.5247524752475248,1.1655172413793105,340727.43385000003,0,1,1,0,0,0
"[""Full renovation""]",2,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 462}}","{""bedrooms"": [0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 205}}","{""other"": {""Full renovation"": 3}}",[1],-1.0122894856622666,0.04984375,0.8861641883184241,-1.1183695466830237,the living areas flow directly into the kitchen creating an openplan space the groundfloor kitchen has a central island granite worktops and fitted units in a light finish the adjacent dining area has a builtin storage unit and a large window a sliding door leads directly to the rear garden the living space has a fireplace and a large window at the front of the property the stairs lead up to two bedrooms both with builtin wardrobes the first bedroom is the larger of the two and has an ensuite bathroom with a doubleended shower and a separate wc the second bedroom has a bathroom next door which also houses a wc the second bathroom has a corner bath and a separate shower area a landing area above the stairs has builtin storage units and a small window,-0.24752475247524752,-0.0896551724137931,150805.62532499997,0,0,0,0,0,1
