renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Other"", ""Living room"", ""Bedroom""]",2,0,"{""bedrooms"": [112, 6], ""bathrooms"": [], ""other"": {""Other"": 23, ""Living room"": 256}}","[""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [99, 143], ""bathrooms"": [], ""other"": {""Other"": 90, ""Living room"": 172}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly"", ""Living room"": ""High-end""}}",2443,Altrincham
"[""Kitchen"", ""Bedroom""]",4,0,"{""bedrooms"": [6, 40, 156, 115], ""bathrooms"": [], ""other"": {""Kitchen"": 126}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [131, 172, 111, 132], ""bathrooms"": [], ""other"": {""Kitchen"": 270}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1657,Bury
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [80, 66, 65], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [83, 99, 85], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""other"": {}}",1222,Oldham
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 81}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 176}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1455,Stockport
"[""Bedroom"", ""Bathroom""]",2,3,"{""bedrooms"": [123, 82], ""bathrooms"": [48, 0, 33], ""other"": {}}","[""Yes"", ""Yes"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [177, 111], ""bathrooms"": [68, 46, 46], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""other"": {}}",1224,Bolton
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 289, ""Other"": 180}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 282, ""Other"": 143}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other"": ""Mid-range""}}",965,Oldham
"[""Other"", ""Kitchen"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 11, ""Kitchen"": 178, ""Living room"": 282}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 212, ""Kitchen"": 147, ""Living room"": 262}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly"", ""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1875,Altrincham
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [74], ""other"": {""Living room"": 71}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [60], ""other"": {""Living room"": 263}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}",1777,Sale
"[""Kitchen"", ""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [52], ""other"": {""Kitchen"": 121}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [65], ""other"": {""Kitchen"": 201}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}",1365,Tameside
"[""Bedroom""]",3,0,"{""bedrooms"": [114, 72, 188], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [185, 193, 102], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",1177,Prestwich
