renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Bedroom""]",1,0,"{""bedrooms"": [198], ""bathrooms"": [], ""other"": {}}","[""Yes""]","{""bedrooms"": [145], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",587,Salford
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 151}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 274}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1494,Stockport
"[""Bedroom"", ""Other""]",1,0,"{""bedrooms"": [2], ""bathrooms"": [], ""other"": {""Other"": 42}}","[""Yes"", ""No""]","{""bedrooms"": [111], ""bathrooms"": [], ""other"": {""Other"": 200}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",1620,Bury
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 159}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 102}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",825,Stretford
"[""Bedroom""]",4,0,"{""bedrooms"": [65, 104, 192, 85], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [152, 95, 176, 165], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1129,Oldham
"[""Bathroom"", ""Other""]",0,3,"{""bedrooms"": [], ""bathrooms"": [47, 27, 40], ""other"": {""Other"": 41}}","[""Yes"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [82, 36, 88], ""other"": {""Other"": 100}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Other"": ""Budget-friendly""}}",1248,Cheadle
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 150}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 133}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",786,Bolton
"[""Bedroom""]",3,0,"{""bedrooms"": [47, 109, 41], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [199, 180, 114], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1308,Cheadle
"[""Bedroom"", ""Other"", ""Bathroom""]",3,2,"{""bedrooms"": [63, 101, 140], ""bathrooms"": [40, 57], ""other"": {""Other"": 170}}","[""Yes"", ""No"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [171, 131, 139], ""bathrooms"": [45, 65], ""other"": {""Other"": 176}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {""Other"": ""Budget-friendly""}}",1348,Cheadle
"[""Living room"", ""Kitchen"", ""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [72, 61], ""other"": {""Living room"": 11, ""Kitchen"": 119}}","[""No"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [42, 67], ""other"": {""Living room"": 195, ""Kitchen"": 222}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range""], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""High-end""}}",1036,Levenshulme
"[""Living room"", ""Bedroom"", ""Other""]",1,0,"{""bedrooms"": [30], ""bathrooms"": [], ""other"": {""Living room"": 224, ""Other"": 51}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [91], ""bathrooms"": [], ""other"": {""Living room"": 128, ""Other"": 209}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Other"": ""Mid-range""}}",1375,Trafford
"[""Kitchen"", ""Other"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 3, ""Other"": 4, ""Living room"": 184}}","[""No"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 119, ""Other"": 189, ""Living room"": 157}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other"": ""High-end"", ""Living room"": ""High-end""}}",1017,Rochdale
"[""Other"", ""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [34], ""other"": {""Other"": 48, ""Living room"": 189}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [39], ""other"": {""Other"": 162, ""Living room"": 200}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other"": ""Budget-friendly"", ""Living room"": ""High-end""}}",1788,Trafford
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [26], ""other"": {}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [51], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {}}",1187,Levenshulme
"[""Kitchen"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 162, ""Living room"": 181}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 267, ""Living room"": 109}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Living room"": ""Budget-friendly""}}",1634,Stockport
"[""Kitchen"", ""Bedroom"", ""Bathroom""]",2,3,"{""bedrooms"": [123, 175], ""bathrooms"": [59, 9, 1], ""other"": {""Kitchen"": 65}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [123, 185], ""bathrooms"": [86, 95, 73], ""other"": {""Kitchen"": 282}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}",1540,Ashton-under-Lyne
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 163}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 91}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",1959,Cheadle
"[""Bedroom""]",2,0,"{""bedrooms"": [86, 159], ""bathrooms"": [], ""other"": {}}","[""No"", ""No""]","{""bedrooms"": [130, 176], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}",1275,Oldham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 18}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 92}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",1138,Wigan
