renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
['Bedroom'],1,0,"{'bedrooms': [198], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [145], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {}}",587,Salford,23374.31,180796.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 151}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 274}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1494,Stockport,25645.68,388440.0
"['Bedroom', 'Other']",1,0,"{'bedrooms': [2], 'bathrooms': [], 'other': {'Other': 42}}","['Yes', 'No']","{'bedrooms': [111], 'bathrooms': [], 'other': {'Other': 200}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",1620,Bury,77908.35,279450.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 159}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 102}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",825,Stretford,22548.8,299475.0
['Bedroom'],4,0,"{'bedrooms': [65, 104, 192, 85], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [152, 95, 176, 165], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'High-end', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {}}",1129,Oldham,115952.35,169350.0
"['Bathroom', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [47, 27, 40], 'other': {'Other': 41}}","['Yes', 'No', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [82, 36, 88], 'other': {'Other': 100}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range', 'Budget-friendly'], 'other': {'Other': 'Budget-friendly'}}",1248,Cheadle,98833.86,383760.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 150}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 133}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",786,Bolton,24497.62,181566.0
['Bedroom'],3,0,"{'bedrooms': [47, 109, 41], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'No']","{'bedrooms': [199, 180, 114], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Mid-range', 'High-end'], 'bathrooms': [], 'other': {}}",1308,Cheadle,83007.73999999999,402210.0
"['Bedroom', 'Other', 'Bathroom']",3,2,"{'bedrooms': [63, 101, 140], 'bathrooms': [40, 57], 'other': {'Other': 170}}","['Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [171, 131, 139], 'bathrooms': [45, 65], 'other': {'Other': 176}}","{'bedrooms': ['Mid-range', 'Mid-range', 'High-end'], 'bathrooms': ['High-end', 'Budget-friendly'], 'other': {'Other': 'Budget-friendly'}}",1348,Cheadle,165771.00999999998,414510.0
"['Living room', 'Kitchen', 'Bathroom']",0,2,"{'bedrooms': [], 'bathrooms': [72, 61], 'other': {'Living room': 11, 'Kitchen': 119}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [42, 67], 'other': {'Living room': 195, 'Kitchen': 222}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range'], 'other': {'Living room': 'Mid-range', 'Kitchen': 'High-end'}}",1036,Levenshulme,101627.68,225330.0
