renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 205}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 254}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1284,Withington
"[""Kitchen"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 297, ""Living room"": 238}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 129, ""Living room"": 162}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1648,Cheadle
"[""Other"", ""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [0, 56, 16], ""other"": {""Other"": 248}}","[""Yes"", ""No"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [78, 56, 56], ""other"": {""Other"": 158}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Other"": ""High-end""}}",929,Withington
"[""Bedroom"", ""Bathroom""]",3,2,"{""bedrooms"": [116, 101, 180], ""bathrooms"": [71, 65], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [95, 149, 145], ""bathrooms"": [84, 43], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {}}",1141,Oldham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 10}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 288}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",889,Oldham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 10}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 289}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1176,Levenshulme
"[""Bedroom""]",2,0,"{""bedrooms"": [134, 34], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [149, 119], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {}}",789,Prestwich
"[""Bathroom"", ""Living room"", ""Bedroom""]",4,3,"{""bedrooms"": [126, 134, 135, 9], ""bathrooms"": [64, 27, 59], ""other"": {""Living room"": 33}}","[""No"", ""No"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [195, 168, 86, 98], ""bathrooms"": [57, 77, 40], ""other"": {""Living room"": 124}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}",1536,Bury
"[""Bathroom"", ""Other""]",0,3,"{""bedrooms"": [], ""bathrooms"": [65, 75, 73], ""other"": {""Other"": 95}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [94, 95, 46], ""other"": {""Other"": 243}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""High-end""], ""other"": {""Other"": ""Budget-friendly""}}",1000,Ashton-under-Lyne
"[""Bedroom""]",2,0,"{""bedrooms"": [3, 175], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [106, 157], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",1016,Wigan
