renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost
"[""Full renovation""]",4,1,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 1737}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0], ""other"": {""Full renovation"": 529}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""Yes""]",2079,Cheadle,253309.14,639292.5
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 384, ""Other/Custom"": 86}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 231, ""Other/Custom"": 100}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other/Custom"": ""Mid-range""}}","[""Yes"", ""Yes""]",1073,Bury,54477.17,209771.5
"[""Bathroom"", ""Kitchen""]",0,3,"{""bedrooms"": [], ""bathrooms"": [97, 96, 108], ""other"": {""Kitchen"": 304}}","{""bedrooms"": [], ""bathrooms"": [8, 88, 82], ""other"": {""Kitchen"": 228}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes"", ""Yes"", ""No"", ""Yes""]",1361,Bolton,117018.48,214357.5
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 190}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 154}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes""]",473,Manchester City Centre,24497.62,182105.0
"[""Bedroom""]",1,0,"{""bedrooms"": [204], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [94], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {}}","[""Yes""]",1136,Prestwich,26352.48,340800.0
"[""Full renovation""]",5,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 982}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 87}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""Yes""]",1203,Didsbury,216391.57,378945.0
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [44], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [67], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {}}","[""Yes""]",1639,Wigan,46149.37,292561.5
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 206}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 329}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""Yes""]",1176,Prestwich,37452.35,352800.0
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 180, ""Kitchen"": 302, ""Other/Custom"": 219}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 30, ""Kitchen"": 103, ""Other/Custom"": 15}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes"", ""Yes""]",1227,Stockport,86929.35,239265.0
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 200}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 209}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes""]",1284,Tameside,27400.64,282480.0
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [38], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [102], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {}}","[""Yes""]",1284,Wigan,24030.3,296604.0
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [76], ""other"": {""Kitchen"": 232}}","{""bedrooms"": [], ""bathrooms"": [42], ""other"": {""Kitchen"": 100}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""Yes""]",1189,Didsbury,67548.92000000001,424473.0
"[""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 288}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 104}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes""]",412,Manchester City Centre,21837.76,158620.0
"[""Bathroom"", ""Other/Custom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [46, 36, 40], ""other"": {""Other/Custom"": 287}}","{""bedrooms"": [], ""bathrooms"": [112, 48, 29], ""other"": {""Other/Custom"": 218}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]",1535,Ashton-under-Lyne,104410.54,247518.75
"[""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 280}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 257}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": ""High-end""}}","[""No""]",970,Didsbury,32385.23,407400.0
