renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,Location,renovation_cost
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 320, ""Other/Custom"": 348}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""Yes""]",4938,Prestwich,83450.87
"[""Bedroom"", ""Bathroom""]",8,5,"{""bedrooms"": [317, 268, 254, 304, 292, 294, 266, 315], ""bathrooms"": [147, 150, 142, 141, 150], ""other"": {}}","{""bedrooms"": [0, 0, 0, 322, 322, 0, 0, 0], ""bathrooms"": [0, 0, 0, 0, 0], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""High-end"", ""High-end"", ""High-end"", ""High-end"", ""High-end"", ""High-end""], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""other"": {}}","[""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",4076,Wigan,537709.1199999999
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [261, 256], ""bathrooms"": [147], ""other"": {""Other/Custom"": 447}}","{""bedrooms"": [322, 0], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No"", ""No""]",1586,Cheadle,116568.48
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [139], ""other"": {""Kitchen"": 419}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""Yes""]",2502,Oldham,99951.59
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [139], ""other"": {""Other/Custom"": 349}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",1945,Stretford,82762.45000000001
"[""Bedroom"", ""Other/Custom""]",4,0,"{""bedrooms"": [314, 292, 303, 260], ""bathrooms"": [], ""other"": {""Other/Custom"": 400}}","{""bedrooms"": [322, 0, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""Yes"", ""No"", ""No"", ""No"", ""No""]",2088,Stretford,213090.48999999996
"[""Bedroom"", ""Living room""]",3,0,"{""bedrooms"": [290, 299, 277], ""bathrooms"": [], ""other"": {""Living room"": 390}}","{""bedrooms"": [0, 0, 322], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""Yes"", ""No""]",2045,Ashton-under-Lyne,173736.81
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [228, 233], ""bathrooms"": [], ""other"": {""Kitchen"": 287}}","{""bedrooms"": [219.0979020979021, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""No"", ""No""]",1387,Manchester City Centre,93557.70000000001
"[""Bedroom"", ""Living room""]",4,0,"{""bedrooms"": [285, 311, 302, 243], ""bathrooms"": [], ""other"": {""Living room"": 420}}","{""bedrooms"": [0, 0, 322, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""Yes"", ""No"", ""No""]",2324,Cheadle,216320.84000000003
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [116], ""other"": {""Other/Custom"": 404}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1715,Ashton-under-Lyne,89244.17000000001
"[""Full renovation""]",7,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 3559}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Mid-range""}}","[""No""]",3559,Wigan,402599.07
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [119], ""other"": {""Other/Custom"": 316}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes""]",4617,Prestwich,76983.01
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 147, ""Other/Custom"": 159}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 112.79439252336448, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""No""]",784,Manchester City Centre,47917.57
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,"{""bedrooms"": [130], ""bathrooms"": [64], ""other"": {""Living room"": 128}}","{""bedrooms"": [0], ""bathrooms"": [63.9787798408488], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes"", ""No""]",719,Stockport,69976.53
